CODGEO;LIBGEO;SEXE1_AGEPYR1000;SEXE1_AGEPYR1003;SEXE1_AGEPYR1006;SEXE1_AGEPYR1011;SEXE1_AGEPYR1018;SEXE1_AGEPYR1025;SEXE1_AGEPYR1040;SEXE1_AGEPYR1055;SEXE1_AGEPYR1065;SEXE1_AGEPYR1080;SEXE2_AGEPYR1000;SEXE2_AGEPYR1003;SEXE2_AGEPYR1006;SEXE2_AGEPYR1011;SEXE2_AGEPYR1018;SEXE2_AGEPYR1025;SEXE2_AGEPYR1040;SEXE2_AGEPYR1055;SEXE2_AGEPYR1065;SEXE2_AGEPYR1080;population;LIBGEO2
95288;Groslay;201;183;317;431;407;843;914;492;325;112;189;189;313;410;420;924;979;525;374;173;8721;groslay
95295;Guiry-en-Vexin;0;5;6;3;7;15;19;15;13;5;2;1;0;6;7;15;17;16;10;5;167;guiry en vexin
95298;Haravilliers;11;10;29;33;12;47;61;39;30;7;10;7;19;27;23;45;70;35;30;4;549;haravilliers
95301;Haute-Isle;11;7;6;13;7;25;33;23;19;7;5;8;5;7;8;22;33;21;17;2;279;haute isle
95303;Le Heaulme;4;3;6;6;5;22;24;14;17;1;2;5;7;10;4;24;23;15;16;3;211;le heaulme
95304;Hédouville;5;5;9;13;4;14;31;23;24;6;6;1;8;9;9;20;30;33;20;6;276;hedouville
95306;Herblay-sur-Seine;558;661;1055;1459;1146;2791;3039;1558;1285;401;607;699;1183;1463;1262;2936;3217;1570;1410;765;29065;herblay sur seine
95308;Hérouville-en-Vexin;10;12;18;36;23;46;72;49;28;5;8;6;20;41;32;55;79;41;34;5;620;herouville en vexin
95309;Hodent;0;5;6;12;19;13;34;12;11;2;2;4;7;7;7;15;26;13;19;4;218;hodent
95313;L'Isle-Adam;205;220;380;575;474;1117;1138;611;771;307;217;240;293;512;446;1192;1235;831;1089;542;12395;l'isle adam
95316;Jagny-sous-Bois;1;3;12;15;8;20;28;21;13;8;8;4;6;10;10;18;28;23;12;10;258;jagny sous bois
95323;Jouy-le-Moutier;313;416;644;812;744;1467;1705;944;601;75;358;403;654;889;714;1632;1805;1188;571;109;16044;jouy le moutier
95328;Labbeville;13;9;20;32;28;76;57;43;32;7;16;15;19;20;19;68;63;38;35;7;617;labbeville
95331;Lassy;2;2;4;13;6;16;17;14;5;1;5;1;8;7;5;21;19;15;9;4;174;lassy
95341;Livilliers;5;9;16;14;13;43;35;25;34;6;8;6;14;10;7;43;32;31;23;13;387;livilliers
95348;Longuesse;9;3;13;32;29;29;64;48;32;8;10;7;14;23;23;39;64;49;31;9;536;longuesse
95351;Louvres;227;243;409;542;421;1057;1059;533;393;115;214;248;402;498;443;1129;1100;527;456;268;10284;louvres
95352;Luzarches;67;75;147;231;156;378;462;277;241;73;72;70;149;254;194;414;560;292;269;173;4554;luzarches
95353;Maffliers;32;45;84;110;72;173;225;106;60;13;35;44;85;105;64;196;239;81;56;24;1849;maffliers
95355;Magny-en-Vexin;105;115;195;255;246;491;588;322;250;71;116;113;178;260;244;538;620;342;323;184;5556;magny en vexin
95365;Mareil-en-France;8;13;20;35;29;57;97;41;28;4;17;9;32;44;27;64;75;46;38;10;694;mareil en france
95369;Margency;60;63;102;126;102;210;302;185;178;47;51;48;105;154;111;243;327;209;220;72;2915;margency
95370;Marines;51;61;150;195;133;280;386;221;135;77;68;73;121;184;111;324;405;218;160;153;3506;marines
95371;Marly-la-Ville;99;118;209;312;239;495;591;355;311;73;96;116;199;282;232;492;654;327;369;129;5698;marly la ville
95379;Maudétour-en-Vexin;2;1;10;9;8;10;23;17;14;1;2;1;6;9;4;11;29;17;13;4;191;maudetour en vexin
95387;Menouville;0;1;1;4;2;7;8;3;9;0;0;0;4;3;3;2;7;9;2;0;65;menouville
95388;Menucourt;120;129;247;293;186;506;631;300;276;61;83;123;229;293;179;552;655;325;330;89;5607;menucourt
95392;Mériel;92;93;220;231;206;420;582;321;271;62;83;99;171;239;177;482;582;320;293;117;5061;meriel
95394;Méry-sur-Oise;220;219;384;510;414;949;1023;615;379;82;199;222;380;479;402;995;1118;573;410;137;9710;mery sur oise
95395;Le Mesnil-Aubry;20;18;45;53;59;82;114;56;33;11;18;13;29;42;37;77;125;54;34;7;927;le mesnil aubry
95409;Moisselles;20;22;51;64;53;153;178;111;49;7;16;16;55;50;64;152;166;92;44;23;1386;moisselles
95422;Montgeroult;6;3;8;17;24;40;31;38;31;8;6;6;4;10;10;36;30;36;30;8;382;montgeroult
95424;Montigny-lès-Cormeilles;544;612;907;1071;949;2119;2046;1064;816;218;432;523;838;1064;887;2471;1904;1229;869;363;20926;montigny les cormeilles
95426;Montlignon;44;54;103;194;133;196;324;189;168;70;41;39;89;164;116;188;377;197;209;98;2993;montlignon
